Record Length,2500,Points,x1,y1,,Record Length,2500,Points,x2,y2
,,,-36.72000021E-3,32.79999924,,,,,-36.72000021E-3,28.39999962
,,,-36.67999804E-3,32.00000000,,,,,-36.67999804E-3,28.39999962
,,,-36.63999960E-3,32.00000000,,,,,-36.63999960E-3,28.39999962
,,,-36.59999743E-3,30.39999962,,,,,-36.59999743E-3,28.39999962
,,,-36.55999899E-3,30.39999962,,,,,-36.55999899E-3,28.39999962
,,,-36.52000055E-3,28.80000114,,,,,-36.52000055E-3,28.39999962
,,,-36.47999838E-3,29.60000038,,,,,-36.47999838E-3,28.80000114
,,,-36.43999994E-3,28.00000000,,,,,-36.43999994E-3,28.39999962
,,,-36.39999777E-3,27.20000076,,,,,-36.39999777E-3,28.39999962
,,,-36.35999933E-3,27.20000076,,,,,-36.35999933E-3,28.39999962
,,,-36.32000089E-3,26.39999962,,,,,-36.32000089E-3,28.39999962
,,,-36.27999872E-3,26.39999962,,,,,-36.27999872E-3,28.00000000
,,,-36.24000028E-3,25.60000038,,,,,-36.24000028E-3,28.00000000
,,,-36.19999811E-3,25.60000038,,,,,-36.19999811E-3,28.39999962
,,,-36.15999967E-3,24.80000114,,,,,-36.15999967E-3,28.39999962
,,,-36.11999750E-3,24.00000000,,,,,-36.11999750E-3,28.39999962
,,,-36.07999906E-3,24.00000000,,,,,-36.07999906E-3,28.00000000
,,,-36.04000062E-3,24.00000000,,,,,-36.04000062E-3,28.00000000
,,,-35.99999845E-3,24.00000000,,,,,-35.99999845E-3,28.00000000
,,,-35.96000001E-3,23.20000076,,,,,-35.96000001E-3,28.39999962
,,,-35.91999784E-3,23.20000076,,,,,-35.91999784E-3,27.60000038
